samsung,ksp,bond,memory,smartphone
16660,2066.26001,4.14,379.39,252.1
16420,2018.469971,4.11,357.32,241.8
15780,1943.75,4.01,350.22,236
15200,1869.449951,4.06,331.33,222.2
14480,1801.349976,4.07,346.69,226.3
14400,1806.23999,3.97,339.54,222.1
14160,1817.439941,3.91,357.12,229.5
14140,1793.310059,3.9,355.62,229.7
15000,1879.869995,3.93,355.41,240.4
15040,1892.670044,3.93,353.1,238.6
14180,1860.579956,3.93,332.23,226.8
13600,1744.880005,3.84,326.32,221.7
13820,1710.699951,3.85,328.94,220.4
14460,1776.680054,3.89,346.09,228.5
14160,1754.780029,3.85,345.69,228.1
14500,1764.579956,3.85,336.33,225
14520,1778.949951,3.85,345.78,228.8
14660,1829.5,3.88,358.44,236
14840,1843.819946,3.85,358.23,238.3
14880,1880.109985,3.87,355.79,239.2
15420,1880.699951,3.81,349.85,238.9
15380,1867.75,3.78,341.46,233
14620,1785.829956,3.63,341.46,233
14540,1766.709961,3.65,339.09,228
15460,1833.459961,3.68,354.26,236.9
15960,1846.640015,3.66,352.15,236.7
15600,1812.930054,3.6,348.4,232.6
15060,1749.160034,3.54,375.73,237.6
15420,1774.079956,3.64,381.09,242
15960,1840.099976,3.68,381.91,242.4
16160,1820.939941,3.78,377.49,239.4
16220,1837.969971,3.81,372.76,238
16260,1854.280029,3.86,365.37,234.2
15800,1800.550049,3.82,352.78,223.7
15160,1697.439941,3.75,359.95,224.2
15500,1652.709961,3.83,359.5,223.1
16080,1735.709961,3.79,366.01,230.2
16140,1723.089966,3.89,355.36,227
16740,1769.290039,3.9,350.82,227.9
16800,1769.650024,3.93,338.82,223.5
16560,1706.189941,3.8,340.23,220.1
16840,1666.52002,3.78,350.78,226.3
17100,1710.319946,3.81,355.17,231.8
17200,1759.77002,3.82,356.73,230.2
17480,1759.77002,3.84,366.79,236.4
17620,1795.02002,3.85,365.7,238.6
17960,1809.5,3.83,369.18,241.2
17800,1823.099976,3.77,376.6,244
17720,1835.400024,3.74,380.86,246.1
17800,1865.180054,3.84,370.31,243.5
17660,1838.900024,3.83,378.66,246.1
17720,1855.920044,3.84,370.16,241.8
18140,1805.089966,3.84,363.88,240.1
18340,1838.380005,3.93,372.1,245.7
18820,1898.319946,3.93,384.65,252.1
18900,1888.650024,3.94,377.46,248.3
18680,1894.310059,3.91,379.48,249.8
18480,1922.040039,3.92,395.74,256.7
18900,1929.47998,3.95,396.33,256.6
19360,1909.030029,3.86,386.49,249.7
19800,1909.630005,3.84,374.05,243.1
19420,1898.01001,3.83,375.88,244.6
19340,1869.959961,3.81,387.15,247.2
20100,1928.410034,3.83,391.48,248
19860,1919.099976,3.82,390.87,248.1
19400,1903.140015,3.79,393.22,249.5
19700,1907.530029,3.78,375.04,241.8
18700,1813.25,3.76,378.23,239.2
19660,1863.449951,3.79,391.6,244.2
19920,1902.810059,3.84,386.56,244.2
19920,1886.119995,3.82,392.23,244.9
19500,1856.069946,3.78,389.92,242.8
19600,1876.670044,3.81,374.35,241.1
19260,1839.170044,3.81,371.25,238.9
19000,1820.030029,3.79,364.2,233.5
19260,1826.280029,3.78,359.66,230.6
18700,1783.099976,3.77,348.17,223
18860,1795.060059,3.76,348.17,223
18940,1776.400024,3.81,344.14,221.8
19560,1815.280029,3.81,355.17,229
20100,1856.52002,3.82,352.62,230.2
20080,1847.51001,3.77,373.32,237.3
21480,1916.180054,3.8,375.31,240.5
21000,1916.040039,3.79,374.57,240.4
21320,1922.900024,3.78,378.12,241.8
20880,1902.819946,3.79,377.41,239.2
21120,1919.420044,3.79,381.85,240.6
21280,1912.390015,3.81,371.13,236.4
21060,1874.75,3.8,375.67,237
21680,1899.76001,3.81,365.15,234.3
21000,1864.060059,3.79,356.53,230.8
20800,1857.75,3.79,350.73,227.8
20300,1819.109985,3.78,350.04,227
20900,1839.959961,3.79,352.86,227.8
20140,1776.930054,3.87,343.36,223.3
20240,1793.060059,3.83,358.73,230.9
21140,1848.410034,3.83,354.45,232.5
21040,1847.48999,3.83,366.81,236
21360,1867.219971,3.85,368.6,237
21320,1856.699951,3.84,368.6,237
21460,1842.02002,3.85,368.01,237.4
21220,1825.119995,3.85,362.59,233.8
21160,1825.73999,3.77,365.93,235.3
21600,1826.369995,3.78,364.44,236.1
22100,1875.410034,3.79,368.6,241
21600,1866.219971,3.79,368.66,239.6
21100,1863.73999,3.78,374.17,241.5
20800,1843.140015,3.78,375.22,239.7
20320,1826.48999,3.79,382.59,241.5
20520,1853.219971,3.79,386.28,243.3
20420,1845.550049,3.79,387.89,244.4
20560,1864.569946,3.78,391.75,246.2
20920,1875.680054,3.79,383.47,244
20600,1859.27002,3.79,383.47,244
20720,1892.73999,3.81,385.22,246.6
20600,1892.390015,3.79,404.6,251.3
21440,1914.969971,3.79,412.11,253.9
22100,1949.890015,3.82,414.34,255.1
22280,1952.22998,3.81,416.45,254.8
22260,1957.180054,3.82,411.94,255.6
22500,1964.829956,3.8,413.34,256.7
22300,1940.550049,3.77,408.74,257
22140,1955.790039,3.76,408.94,257.7
21580,1959.23999,3.75,418.74,261.5
21600,1984.300049,3.76,420.56,263.7
21320,1972.339966,3.76,427.99,267.5
21480,1973.130005,3.78,421.87,265.8
21860,1981.589966,3.81,422.3,266.8
21840,2003.72998,3.83,427.59,271.2
21680,2014.619995,3.81,428.98,272.1
21240,1993.709961,3.82,420.15,268.9
21660,2005.73999,3.83,421.73,270.3
21600,2002.640015,3.82,423.46,270.1
22700,2025.319946,3.83,425.48,271.5
22700,1997.449951,3.81,435.88,273.4
23520,2023.469971,3.83,432.04,274.7
23500,2024.900024,3.85,432.04,274.7
23600,2024.23999,3.85,426,274.6
23940,2028.650024,3.85,424.06,274.6
23200,2007.800049,3.83,424.67,275.2
23600,2019.890015,3.83,423.79,275.9
23420,1991.160034,3.82,424.25,275.4
23700,2003.689941,3.8,430.99,275.7
24120,2030.25,3.81,424.17,273.7
23640,2034.630005,3.85,420.35,272.1
23480,2016.060059,3.87,409.65,267.4
23600,2000.359985,3.88,405.95,262.7
23440,1982.150024,3.89,412.24,264.8
23600,2000.76001,3.86,418.35,269.9
24600,2018.300049,3.88,422.85,272.1
24200,2002.5,3.85,418.57,270.1
24420,2025.040039,3.85,428.2,274.6
25000,2045.079956,3.89,426.65,275.2
25000,2043.76001,3.95,434.99,277.2
24760,2034.439941,3.97,435.41,276.5
25200,2047,4.01,438.69,277.1
25340,2042.150024,4.01,435.54,275.6
24840,2027.22998,4.04,437.19,274.2
25160,2026.119995,4.06,434.54,273.8
25220,2026.829956,4.06,435.68,273.8
25500,2019.189941,4.03,441.88,275.7
26220,2039.76001,4.03,441.6,276.2
26040,2031.73999,4,436.1,274.8
25600,2014.410034,3.99,436.85,273.1
25500,2014.040039,3.94,438.64,273.7
25980,2029.290039,3.99,438.44,274.7
26700,2049.280029,3.95,431.5,270.9
26400,2018.609985,3.97,421.9,265.5
26600,2028.77002,3.97,423.2,265.1
26640,2029.030029,3.95,423.2,265.1
26340,1997.079956,3.9,417.08,261.6
26220,1994.410034,3.91,409.65,257.3
25460,1986.630005,3.91,424.16,260.8
25360,2008.910034,3.91,416.43,257.7
25180,1992.630005,3.87,416.7,255.7
24980,1985.300049,3.86,423.2,257.2
25860,2004.530029,3.87,419.51,256.4
26140,1999.859985,3.87,415.03,253.3
25640,1974.650024,3.85,405.17,250
25580,1972.630005,3.85,400.15,247.1
25660,1963.420044,3.85,397.1,247.5
26100,1961.97998,3.88,406.4,251.7
26800,1964.040039,3.87,415.2,251.8
27480,1975.349976,3.84,415.91,251.1
27800,1981.98999,3.81,413.39,250.7
28200,1999.069946,3.82,416.81,250.5
28020,1995.109985,3.8,406.49,246.1
27200,1989.150024,3.79,397.94,241.5
26840,1956.439941,3.75,396.92,239.5
26820,1967.01001,3.78,394.36,238.7
26620,1950.290039,3.77,393.15,236.7
26540,1944.930054,3.79,391.74,236.1
26060,1917.130005,3.75,394.6,235.3
26280,1913.72998,3.75,390.31,231.9
26220,1898.959961,3.73,386.29,230.7
24600,1840.530029,3.75,379.82,226.7
24460,1845.23999,3.74,371.45,224.9
23320,1782.459961,3.72,364.48,220
24180,1799.130005,3.74,373.85,224.6
24800,1828.689941,3.74,370.98,225
24420,1808.619995,3.73,372.33,223.9
24500,1814.469971,3.73,367.07,222.3
24500,1824.170044,3.73,372.11,221.9
24760,1849.910034,3.74,379.66,226.7
24520,1844.859985,3.73,372.2,221.9
24220,1843.469971,3.69,368.37,222
24660,1834.51001,3.64,353.17,215.7
23920,1783.130005,3.56,352.69,213.4
24060,1801.849976,3.61,360.5,217.7
25300,1847.949951,3.67,367.47,223.8
24940,1835.640015,3.57,372.73,224.2
25360,1867.040039,3.66,365.69,222.4
25100,1854.73999,3.66,373.74,224.4
25420,1859.319946,3.64,369.79,223.5
25220,1871.47998,3.64,369.15,221.9
24340,1858.160034,3.63,375.15,224
24860,1891.709961,3.66,380.55,226.8
24880,1891.77002,3.65,384.94,228.9
25040,1904.119995,3.68,388.59,228.7
24540,1889.150024,3.66,372.71,222.6
23640,1847.390015,3.63,378.65,223.5
22640,1825.380005,3.63,365.55,217.8
22780,1817.810059,3.63,366.87,216.5
23340,1817.650024,3.61,371.71,219.4
23360,1819.180054,3.59,369.38,218.3
24020,1854.01001,3.63,385.46,223.4
23480,1851.650024,3.61,384.79,223.7
23500,1867.819946,3.59,390.3,226.3
23820,1874.449951,3.57,390.3,226.3
23700,1875.48999,3.54,385.68,224.5
23220,1858.199951,3.54,376.04,220.6
22520,1836.130005,3.52,371.47,217.7
22540,1829.449951,3.53,363.01,214.9
22360,1826.390015,3.52,359.67,214.3
21820,1785.390015,3.29,353.69,211.1
22780,1812.890015,3.26,357.01,212.5
23040,1817.790039,3.24,353.15,209.5
23360,1821.959961,3.17,351.45,208.5
23080,1794.910034,3.15,363.91,210.6
23900,1822.959961,3.17,371.34,214.6
23820,1822.930054,3.18,365.01,211.7
23240,1789.439941,3.08,361.66,208.1
23400,1793.930054,3.08,360.23,206.6
23160,1769.310059,3,367.13,208.3
23440,1782.469971,3.01,375.54,213.6
24660,1829.160034,3.12,384.23,219.6
25500,1843.790039,3.14,380.61,219.1
26180,1881.98999,3.15,383.72,221.6
26000,1879.930054,3.14,383.83,220
25260,1869.400024,3.1,381.48,218.3
24860,1848.680054,3.03,390.1,221.6
25960,1885.880005,3.02,392.08,224.6
25880,1886.800049,3.03,400.06,227.2
26400,1903.22998,3,401.15,227.7
26800,1940.589966,3.05,403.98,230.8
26960,1946.400024,3.04,405.96,231.8
26500,1932.439941,3.06,402.41,230.5
26900,1956.959961,3.1,399.12,229.8
26900,1957.910034,3.24,408.26,231.9
25900,1946.540039,3.19,405.14,232.3
25660,1946.310059,3.19,402.29,231.6
25640,1943.219971,3.16,402.3,232.2
25280,1935.189941,3.17,399.17,231.3
25740,1942.540039,3.12,396.66,232.2
25500,1919.810059,3.08,398.95,231.6
23600,1917.869995,3.06,397.48,231.9
23900,1916.329956,3.06,397.04,230
24600,1928.540039,3.03,397.42,230.9
24300,1906.380005,3.04,390.7,227.1
24660,1905.119995,3.02,396.18,228.2
24360,1912.709961,3,396.18,228.2
24360,1907.130005,3.01,392.82,227.3
23780,1874.030029,2.99,390.27,224.3
23920,1881.23999,2.99,404.54,228.9
25000,1929.579956,3.06,401.23,232.5
